provider,state,county,facility_id,facility_name,phone,in_state,per_min
securus,AK,,4660,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),8015381000,FALSE,0.085
securus,AK,,4660,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/EAST (ANCHORAGE JAIL),9074653500,TRUE,0.085
securus,AK,,5138,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/WEST,9074653500,TRUE,0.085
securus,AK,,5138,AK DOC - ANCHORAGE CORRECTIONAL COMPLEX/WEST,8015381000,FALSE,0.085
securus,AK,,5139,AK DOC - ANVIL MOUNTAIN CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5139,AK DOC - ANVIL MOUNTAIN CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,5137,AK DOC - FAIRBANKS CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5137,AK DOC - FAIRBANKS CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,9075,AK DOC - GOOSE CREEK CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,9075,AK DOC - GOOSE CREEK CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,5136,AK DOC - HILAND MOUNTAIN CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5136,AK DOC - HILAND MOUNTAIN CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,5129,AK DOC - KETCHIKAN CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5129,AK DOC - KETCHIKAN CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,5135,AK DOC - LEMON CREEK CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5135,AK DOC - LEMON CREEK CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,5134,AK DOC - MAT-SU PRETRIAL FACILITY,9074653500,TRUE,0.085
securus,AK,,5134,AK DOC - MAT-SU PRETRIAL FACILITY,8015381000,FALSE,0.085
securus,AK,,5133,AK DOC - PALMER CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5133,AK DOC - PALMER CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,4745,AK DOC - POINT MACKENZIE CORRECTIONAL FARM,9074653500,TRUE,0.085
securus,AK,,4745,AK DOC - POINT MACKENZIE CORRECTIONAL FARM,8015381000,FALSE,0.085
securus,AK,,5132,AK DOC - SPRING CREEK CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5132,AK DOC - SPRING CREEK CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AK,,5130,AK DOC - WILDWOOD CORRECTIONAL COMPLEX,9074653500,TRUE,0.085
securus,AK,,5130,AK DOC - WILDWOOD CORRECTIONAL COMPLEX,8015381000,FALSE,0.085
securus,AK,,5131,AK DOC - YUKON KUSKOKWIM CORRECTIONAL CENTER,9074653500,TRUE,0.085
securus,AK,,5131,AK DOC - YUKON KUSKOKWIM CORRECTIONAL CENTER,8015381000,FALSE,0.085
securus,AL,,57027,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,3342427100,TRUE,0.06
securus,AL,,57027,AL DOC - ALEXANDER CITY COMMUNITY WORK CENTER/RELEASE,4109743901,FALSE,0.06
securus,AL,,57001,AL DOC - BIBB COUNTY CORRECTIONAL FACILITY,3342427100,TRUE,0.06
securus,AL,,57001,AL DOC - BIBB COUNTY CORRECTIONAL FACILITY,4109743901,FALSE,0.06
securus,AL,,57020,AL DOC - BIRMINGHAM COMMUNITY WORK CENTER/RELEASE,3342427100,TRUE,0.06
securus,AL,,57020,AL DOC - BIRMINGHAM COMMUNITY WORK CENTER/RELEASE,4109743901,FALSE,0.06
securus,AL,,57010,AL DOC - BULLOCK  CORRECTIONAL FACILITY,4109743901,FALSE,0.06
securus,AL,,57010,AL DOC - BULLOCK  CORRECTIONAL FACILITY,3342427100,TRUE,0.06
securus,AL,,57031,AL DOC - BULLOCK MENTAL HEALTH UNIT,4109743901,FALSE,0.06
